Pitch Count,Hits,Total,Batting Average
0B-1S,3,5,0.6
3B-0S,0,2,0.0
0B-0S,1,5,0.2
1B-1S,2,3,0.6666666666666666
1B-2S,2,4,0.5
0B-2S,1,2,0.5
1B-0S,0,1,0.0
2B-2S,1,3,0.3333333333333333
2B-0S,1,2,0.5
